Number,Name,Color,RGB
C3371,Étoile - Black Brown,,"54, 34, 14"
C3799,Étoile - Pewter Gray - Very Dark,,"57, 57, 61"
S5200,Satin - Snow White,,"255, 255, 255"
S211,Satin - Lavender,,"229, 189, 237"
S307,Satin - Lemon,,"253, 233, 73"
S310,Satin - Black,,"0, 0, 0"
S321,Satin - Red,,"189, 17, 54"
S326,Satin - Rose,,"172, 28, 55"
S336,Satin - Blue,,"13, 39, 93"
S351,Satin - Coral,,"237, 98, 91"
S352,Satin - Coral Light,,"247, 131, 114"
S367,Satin - Pistachio Green,,"68, 107, 69"
S414,Satin - Steel Grey,,"118, 110, 114"
S415,Satin - Pearl Grey,,"184, 185, 189"
S434,Satin - Brown,,"142, 82, 49"
S469,Satin - Avacado Green,,"90, 102, 49"
S471,Satin - Avocado Green Very Light,,"158, 179, 87"
S472,Satin - Avocado Green Ultra Light,,"209, 222, 117"
S501,Satin - Blue Green Dark,,"46, 84, 71"
S504,Satin - Blue Green,,"172, 218, 193"
S550,Satin - Violet Dark,,"88, 14, 92"
S552,Satin - Violet Medium,,"144, 47, 153"
S553,Satin - Violet,,"163, 72, 172"
S601,Satin - Cranberry Dark,,"198, 42, 83"
S602,Satin - Cranberry,,"214, 63, 104"
S606,Satin - Orange Red,,"247, 15, 0"
S666,Satin - Red Bright,,"207, 27, 50"
S676,Satin - Old Gold,,"237, 191, 126"
S700,Satin - Green,,"7, 108, 52"
S702,Satin - Kelly Green,,"55, 145, 48"
S712,Satin - Cream,,"246, 239, 218"
S726,Satin - Topaz,,"253, 219, 99"
S738,Satin - Tan Dark,,"225, 184, 131"
S739,Satin - Tan,,"243, 222, 185"
S741,Satin - Tangerine,,"252, 139, 16"
S744,Satin - Yellow,,"254, 232, 141"
S745,Satin - Yellow Pale,,"254, 235, 165"
S762,Satin - Pearl Grey,,"209, 208, 210"
S776,Satin - Pink,,"252, 168, 173"
S797,Satin - Royal Blue,,"43, 50, 136"
S798,Satin - Delft Blue Dark,,"78, 92, 167"
S799,Satin - Delft Blue,,"107, 127, 192"
S800,Satin - Delft Blue Pale,,"181, 199, 233"
S818,Satin - Baby Pink,,"254, 222, 221"
S820,Satin - Royal Blue Very Dark,,"21, 18, 100"
S841,Satin - Beige Brown,,"163, 125, 100"
S898,Satin - Coffee Brown,,"83, 47, 27"
S899,Satin - Rose,,"234, 107, 120"
S909,Satin - Emerald Green,,"17, 107, 68"
S915,Satin - Plum Dark,,"149, 8, 91"
S931,Satin - Antique Blue,,"102, 118, 132"
S932,Satin - Antique Blue Light,,"146, 160, 175"
S943,Satin - Aquamarine,,"0, 154, 119"
S959,Satin - Seagreen,,"114, 208, 183"
S964,Satin - Seagren Light,,"166, 228, 213"
S976,Satin - Golden Brown,,"207, 117, 50"
S991,Satin - Aquamarine Dark,,"19, 95, 85"
S995,Satin - Electric Blue,,"0, 97, 176"
S3371,Satin - Black Brown,,"54, 34, 14"
S3607,Satin - Plum,,"219, 75, 158"
S3685,Satin - Mauve,,"121, 38, 59"
S3820,Satin - Straw,,"219, 165, 62"
5269,Discontinued Metallic - Green Emerald,,"7, 91, 38"
5270,Discontinued Metallic - Dark Red Ruby,,"128, 11, 52"
5272,Discontinued Metallic - White,,"255, 255, 255"
5279,Discontinued Metallic - Copper,,"170, 82, 55"
5282,Discontinued Metallic - Light Gold,,"234, 189, 0"
5283,Discontinued Metallic - Silver,,"177, 174, 183"
5284,Discontinued Metallic - Dark Gold,,"204, 165, 0"
5287,Discontinued Metallic - Titanium,,"109, 100, 105"
5288,Discontinued Metallic - Pink Amethyst,,"188, 117, 127"
5289,Discontinued Metallic - Purple Ruby,,"112, 48, 160"
5290,Discontinued Metallic - Light Blue Sapphire,,"0, 176, 240"
5290,Discontinued Metallic - Royal Blue,,"0, 103, 239"
