Number,Name,Color,RGB
552,Violet - Medium,,"144, 47, 153"
553,Violet,,"164, 73, 172"
554,Violet - Light,,"220, 156, 222"
561,Jade - Very Dark,,"40, 94, 72"
562,Jade - Medium,,"59, 140, 90"
563,Jade - Light,,"110, 211, 154"
564,Jade - Very Light,,"149, 228, 175"
580,Moss Green - Dark,,"53, 95, 11"
581,Moss Green,,"131, 138, 41"
597,Turquoise,,"82, 173, 171"
598,Turquoise - Light,,"151, 216, 211"
600,Cranberry - Very Dark,,"191, 28, 72"
601,Cranberry - Dark,,"198, 42, 83"
602,Cranberry - Medium,,"214, 63, 104"
603,Cranberry - Light Medium,,"251, 75, 124"
604,Cranberry - Light,,"247, 147, 178"
605,Cranberry - Very Light,,"251, 172, 196"
606,Orange-red - Bright,,"247, 15, 0"
608,Orange - Bright,,"253, 72, 12"
610,Drab Brown - Dark,,"107, 80, 57"
611,Drab Brown,,"124, 95, 70"
612,Drab Brown - Light,,"166, 136, 94"
613,Drab Brown - Very Light,,"185, 159, 114"
632,Desert Sand - Ultra Very Dark,,"127, 66, 50"
640,Beige Gray - Very Dark,,"129, 120, 104"
642,Beige Gray - Dark,,"149, 141, 121"
644,Beige Gray - Medium,,"196, 190, 166"
645,Beaver Gray - Very Dark,,"93, 93, 84"
646,Beaver Gray - Dark,,"107, 104, 96"
647,Beaver Gray - Medium,,"144, 142, 133"
648,Beaver Gray - Light,,"167, 166, 159"
666,Red - Bright,,"206, 27, 51"
676,Old Gold - Light,,"236, 191, 125"
677,Old Gold - Very Light,,"242, 220, 159"
680,Old Gold - Dark,,"176, 123, 70"
699,Green,,"7, 91, 38"
700,Green - Bright,,"7, 108, 52"
701,Green - Light,,"33, 124, 54"
702,Kelly Green,,"55, 145, 48"
703,Chartreuse,,"99, 179, 48"
704,Chartreuse - Bright,,"136, 197, 58"
712,Cream,,"246, 239, 218"
718,Plum,,"203, 32, 137"
720,Orange Spice - Dark,,"200, 58, 36"
721,Orange Spice - Medium,,"244, 100, 64"
722,Orange Spice - Light,,"249, 135, 86"
725,Topaz,,"249, 193, 91"
726,Topaz - Light,,"253, 219, 99"
727,Topaz - Very Light,,"253, 233, 139"
728,Golden Yellow,,"242, 174, 63"
729,Old Gold - Medium,,"206, 150, 87"
730,Olive Green - Very Dark,,"99, 82, 11"
731,Olive Green - Dark,,"107, 88, 11"
732,Olive Green,,"114, 92, 12"
733,Olive Green - Medium,,"167, 138, 68"
734,Olive Green - Light,,"187, 156, 84"
738,Tan - Very Light,,"226, 183, 131"
739,Tan - Ultra Very Light,,"242, 222, 185"
740,Tangerine,,"253, 111, 26"
741,Tangerine - Medium,,"252, 139, 16"
742,Tangerine - Light,,"253, 174, 60"
743,Yellow - Medium,,"253, 215, 105"
744,Yellow - Pale,,"254, 232, 141"
745,Yellow - Light Pale,,"254, 235, 165"
746,Off White,,"250, 242, 213"
747,Sky Blue - Very Light,,"206, 233, 234"
754,Peach - Light,,"247, 201, 176"
758,Terra Cotta - Very Light,,"233, 159, 131"
760,Salmon,,"236, 136, 128"
761,Salmon - Light,,"248, 180, 173"
762,Pearl Gray - Very Light,,"209, 208, 210"
772,Yellow Green - Very Light,,"215, 239, 167"
775,Baby Blue - Very Light,,"212, 227, 239"
776,Pink - Medium,,"252, 168, 173"
777,Red - Deep,,"155, 0, 66"
778,Antique Mauve - Very Light,,"220, 166, 164"
779,Brown,,"83, 51, 45"
780,Topaz - Ultra Very Dark,,"148, 80, 38"
781,Topaz - Very Dark,,"162, 95, 31"
782,Topaz - Dark,,"178, 105, 35"
783,Topaz - Medium,,"208, 136, 61"
791,Cornflower Blue - Very Dark,,"45, 32, 104"
792,Cornflower Blue - Dark,,"69, 75, 139"
793,Cornflower Blue - Medium,,"124, 130, 181"
794,Cornflower Blue - Light,,"160, 178, 215"
796,Royal Blue - Dark,,"39, 34, 118"
797,Royal Blue,,"43, 50, 136"
798,Delft Blue - Dark,,"78, 92, 167"
799,Delft Blue - Medium,,"107, 127, 192"
800,Delft Blue - Pale,,"181, 199, 233"
801,Coffee Brown - Dark,,"96, 57, 29"
803,Blue - Deep,,"32, 39, 84"
806,Peacock Blue - Dark,,"29, 108, 135"
807,Peacock Blue,,"85, 139, 158"
809,Delft Blue,,"145, 159, 213"
813,Blue - Light,,"127, 160, 198"
814,Garnet - Dark,,"113, 16, 51"
815,Garnet - Medium,,"128, 11, 52"
816,Garnet,,"146, 18, 56"
817,Coral Red - Very Dark,,"187, 22, 48"
818,Baby Pink,,"254, 222, 221"
819,Baby Pink - Light,,"252, 235, 222"
820,Royal Blue - Very Dark,,"21, 18, 100"
822,Beige Gray - Light,,"232, 223, 199"
823,Blue - Dark,,"0, 11, 68"
824,Blue - Very Dark,,"40, 71, 121"
825,Blue - Dark,,"52, 88, 143"
826,Blue - Medium,,"80, 117, 167"
827,Blue - Very Light,,"164, 193, 222"
828,Blue - Ultra Very Light,,"195, 215, 230"
829,Golden Olive - Very Dark,,"100, 72, 12"
830,Golden Olive - Dark,,"110, 80, 29"
831,Golden Olive - Medium,,"124, 95, 32"
832,Golden Olive,,"156, 114, 48"
833,Golden Olive - Light,,"185, 153, 86"
834,Golden Olive - Very Light,,"210, 180, 104"
838,Beige Brown - Very Dark,,"74, 48, 33"
839,Beige Brown - Dark,,"90, 60, 45"
840,Beige Brown - Medium,,"122, 89, 57"
841,Beige Brown - Light,,"163, 125, 100"
842,Beige Brown - Very Light,,"203, 176, 148"
844,Beaver Gray - Ultra Dark,,"73, 72, 66"
868,Hazel Nut Brown,,"153, 92, 48"
869,Hazelnut Brown - Very Dark,,"120, 76, 40"
890,Pistachio Green - Ultra Dark,,"50, 66, 51"
891,Carnation - Dark,,"238, 50, 70"
892,Carnation - Medium,,"244, 71, 83"
893,Carnation - Light,,"246, 104, 121"
894,Carnation - Very Light,,"253, 149, 163"
895,Hunter Green - Very Dark,,"52, 75, 46"
898,Coffee Brown - Very Dark,,"83, 47, 27"
899,Rose - Medium,,"234, 107, 120"
900,Burnt Orange - Dark,,"198, 49, 23"
902,Garnet - Very Dark,,"101, 19, 41"
904,Parrot Green - Very Dark,,"56, 99, 36"
905,Parrot Green - Dark,,"70, 121, 36"
906,Parrot Green - Medium,,"108, 158, 41"
907,Parrot Green - Light,,"157, 199, 45"
909,Emerald Green - Very Dark,,"16, 107, 67"
910,Emerald Green - Dark,,"16, 129, 78"
911,Emerald Green - Medium,,"16, 146, 86"
912,Emerald Green - Light,,"54, 178, 107"
913,Nile Green - Medium,,"85, 202, 125"
915,Plum - Dark,,"149, 8, 90"
917,Plum - Medium,,"172, 16, 113"
918,Red Copper - Dark,,"136, 54, 48"
919,Red Copper,,"155, 55, 27"
920,Copper - Medium,,"171, 72, 54"
921,Copper,,"192, 87, 61"
922,Copper - Light,,"221, 110, 76"
924,Gray Green - Very Dark,,"56, 74, 74"
926,Gray Green - Medium,,"97, 118, 116"
927,Gray Green - Light,,"159, 168, 165"
928,Gray Green - Very Light,,"192, 198, 192"
930,Antique Blue - Dark,,"73, 92, 107"
931,Antique Blue - Medium,,"102, 118, 132"
932,Antique Blue - Light,,"147, 160, 175"
934,Avocado Green - BLACK,,"50, 51, 36"
935,Avocado Green - Dark,,"56, 58, 42"
936,Avocado Green - Very Dark,,"63, 66, 39"
937,Avocado Green - Medium,,"67, 79, 44"
938,Coffee Brown - Ultra Dark,,"69, 39, 26"
939,Blue - Very Dark,,"9, 9, 47"
943,Aquamarine - Medium,,"0, 154, 119"
945,Tawny,,"246, 193, 154"
946,Burnt Orange - Medium,,"237, 65, 21"
947,Burnt Orange,,"252, 79, 22"
948,Peach - Very Light,,"253, 230, 211"
